 lokasi, alamat_kantor,kode_pos,telepon,fax,latitude,longitude
BADAN PELAYANAN TERPADU SATU PINTU,"Jl. Kebon Sirih No. 18 Blok H Lantai 18, Jakarta",10110,021 3841823,021 3841823,-6.182027,106.82833
PTSP KOTA ADMINISTRASI JAKARTA PUSAT,"Jl. Tanah Abang 1 No. 1, Gambir",10160,021 3441487,,-6.172999,106.8189098
PTSP KECAMATAN GAMBIR,"Jl. Tanah Abang 1 No. 10, Gambir",10160,021 38901779,021 38901779,-6.170865,106.81925
PTSP Kelurahan Gambir,"Jl. Budi Kemuliaan No. 12, Gambir",10110,021 3518384,021 3504151,-6.179949,106.816122
PTSP Kelurahan Cideng,"Jl. Petojo Selatan XI No. 19, Cideng",10150,021 63861716,021 63861716,-6.167895,106.809231
PTSP Kelurahan Petojo Utara,"Jl. Pembangunan II Taman Kecamatan Gambir, Petojo Utara",10130,021 6343273,021 6343273,-6.162532,106.8176
PTSP Kelurahan Petojo Selatan,"Jl. Petojo Melintang No. 19, Petojo Selatan",10160,021 3862032,021 3520886,-6.171873,106.816871
PTSP Kelurahan Kebon Kelapa,"Jl. Batu Tulis VII No. 21, Kebon Kelapa",10120,021 3522401,,-6.165955,106.825544
PTSP Kelurahan Duri Pulo,"Jl. Petojo Barat V, Duri Pulo",10140,021 6342880,021 6342880,-6.163782,106.809329
PTSP KECAMATAN SAWAH BESAR,Jl. Karang Anyar Raya No. 12,,,,-6.151737,106.827451
PTSP Kelurahan Pasar Baru,"Jl. Krekot Jaya I No. 4C, Pasar Baru",10710, ,,-6.161497,106.830164
PTSP Kelurahan Karang Anyar,"Jl. B Raya No. 1, Karang Anyar",10740,021 6291252,021 62310699,-6.1558947,106.8288099
PTSP Kelurahan Kartini,"Jl. Kartini VIII Dalam No. 18, Kartini",10750,021 62201172,021 6292096,-6.153283,106.831783
PTSP Kelurahan Gunung Sahari Utara,"Jl. Gunung Sahari 7A No. 30, Gunung Sahari Utara",10720,021 6268786,021 62200474,-6.152796,106.83873
PTSP Kelurahan Mangga Dua Selatan,"Jl. Mangga Dua Dalam No. 1, Mangga Dua Selatan",10730,021 6293296,021 6293296,-6.138095,106.82695
